d/f,shape,aspect ratio,age,w/b,Dmax,ratio of aggregate to binder,CA/FA,Cement strength grade,fly ash,Silicon,BFS,fc
150,1,1,180,0.51,19,3.13,1.52,3,0,0,50,59.7
100,1,1,28,0.77,20,10.47,1.73,6,0,0,0,18.4
200,1,1,28,0.54,20,4.24,1.5,3,0,0,0,30
200,2,2,28,0.23,16,3.17,1.25,1,0,0,0,50.3704
100,1,1,28,0.59,40,12,3,3,0,0,30,26.36
200,1,1,28,0.67,80,13,3,3,0,0,50,16.81
150,1,1,3,0.3,16,4.13,1.44,3,0,0,20,58
100,1,1,28,0.28,20,3.18,3.14,6,0,0,0,71.2
100,2,4,28,0.37,25,3.74,1.35,3,0,0,50,57.1
150,2,2,28,0.4,31.5,3.79,2.34,3,0,0,0,38.5
100,1,1,3,0.21,25,2.83,1.83,5,40,10,0,69.8876
100,2,2,56,0.5,20,4.24,1.87,1,0,5,0,54.2
100,1,1,56,0.21,25,2.83,1.83,5,10,10,0,108.014
100,3,2,28,0.48,25,4.57,1.77,1,0,0,0,33.8
100,1,1,56,0.5,20,4.17,1.97,1,25,0,0,49.1
100,2,4,28,0.27,25,2.53,1.59,3,0,0,0,71.4
200,2,2,28,0.28,13,2.77,1.36,3,0,11,0,59.65
100,3,2,28,0.4,19,4.14,0.22,4,10,0,0,50.3
100,2,3,28,0.19,30,2.79,1.5,3,0,10,0,49.19
70,1,1,28,0.38,16,3.83,2.45,1,0,0,0,30.89
150,1,1,7,0.87,19,7.36,1.52,3,0,0,30,16.4
100,1,1,7,0.3,20,3.6,1.94,3,0,40,0,66.77
100,1,1,7,0.6,31.5,6.04,1.22,3,0,0,0,33.34
100,2,2,28,0.5,20,4.11,2.05,1,40,5,0,33.2
100,1,1,28,0.4,12.5,4.21,1.28,5,0,0,0,63.49
100,2,2,1,0.38,19,4.16,1.5,1,55,0,0,6.9
100,1,1,56,0.4,20,4.55,1.75,1,20,5,0,69.9
150,1,1,63,0.68,19,5.08,1.52,3,0,0,18,35.2
100,3,2,356,0.55,19,5,0.26,4,0,0,0,46.5
150,1,1,3,0.5,16,4.3,1.44,3,0,0,40,17.4
100,1,1,56,0.3,20,3.6,1.94,3,0,50,0,82.47
150,1,1,28,0.32,20,3.27,1.5,3,11,0,18,59.0865
150,1,1,7,0.5,20,4.57,1.5,3,0,0,50,18.6842
150,1,1,119,0.68,19,5.08,1.52,3,0,0,18,37.8
100,1,1,56,0.5,20,4.1,2.06,1,45,0,0,47
100,1,1,7,0.28,20,3.17,1.35,6,0,0,0,68.931
100,1,1,90,0.3,10,3.48,1.66,1,40,5,0,83.4
100,1,1,90,0.4,20,4.55,1.75,1,20,5,0,72.4
150,1,1,28,0.5,16,5.19,1.44,3,0,0,80,29.9
150,2,2,28,0.6,25,4.95,1.86,2,0,0,0,20.81
150,1,1,28,0.59,40,12,3,3,0,0,40,25.26
150,1,1,7,1.01,19,8.86,1.52,3,0,0,18,12.7
100,2,4,1,0.42,25,4.36,1.24,3,0,0,50,2.4
150,1,1,63,0.43,19,2.06,1.52,3,0,0,56,54.9
100,1,1,180,0.5,20,4.17,1.97,1,25,0,0,57.9
100,1,1,28,0.53,20,7.45,3.54,6,0,0,0,34.1916
100,1,1,7,0.27,25,2.83,1.83,5,0,10,10,81.3475
100,1,1,28,0.5,31.5,3.83,2.11,1,70,0,0,12.417
100,1,1,1,0.77,20,10.47,0.91,6,0,0,0,7.47332
150,1,1,90,0.3,16,4.88,1.44,3,0,0,0,85.2
150,1,1,3,0.4,16,5.54,1.44,3,0,0,0,45.9
200,1,1,28,0.59,40,12,3,3,0,0,60,23.32
150,1,1,90,0.4,16,3.82,1.44,3,0,0,60,73.4
150,1,1,28,0.86,19,7.2,1.52,3,0,0,18,23.6
150,1,1,28,0.59,19,4.15,1.52,3,0,0,30,41.8
150,1,1,7,0.66,19,4.91,1.52,3,0,0,30,25.6
150,1,1,14,0.47,19,2.56,1.52,3,0,0,56,32.4
100,3,2,3,0.55,19,4.08,0.87,1,60,0,0,5.9
100,2,2,28,0.4,20,4.45,1.86,1,55,0,0,32.4
100,1,1,7,0.29,20,4.62,4.3,6,0,0,0,70.4455
100,1,1,28,0.3,10,3.54,1.58,1,20,5,0,78.5
100,3,2,7,0.55,19,5,0.26,4,0,0,0,26.6
100,1,1,56,0.3,20,3.6,1.94,3,0,0,0,74.12
100,1,1,1,0.53,20,7.45,3.54,6,0,0,0,19.3413
100,1,1,1,0.39,20,4.73,2.35,6,0,0,0,24.7
150,1,1,7,0.4,16,4.53,1.44,3,0,0,80,38.6
100,1,1,3,0.5,20,4.17,1.96,1,20,5,0,20.1
100,3,2,21,0.55,19,4.13,0.85,1,75,0,0,5.5
50,3,2,28,0.28,13,2.77,1.36,3,0,11,0,91.52
100,3,2,28,0.5,19,3.92,0.8,1,60,0,0,16.8
100,3,2,3,0.4,19,4.1,0.22,4,20,0,0,29.4
100,2,4,90,0.42,25,4.39,1.24,3,0,0,0,50.8
100,2,2,56,0.5,20,4.1,2.06,1,45,0,0,37.6
100,3,2,14,0.5,19,3.88,0.8,1,75,0,0,5.4
100,1,1,28,0.29,20,4.62,4.3,6,0,0,0,71.3366
100,2,2,3,0.5,14,4.09,1.38,3,0,0,0,25.8
100,1,1,28,0.5,12.5,4.53,1.05,5,0,0,0,44.69
150,1,1,14,0.43,19,2.06,1.52,3,0,0,56,37
150,1,1,63,0.66,19,4.92,1.52,3,0,0,0,35.9
100,2,4,180,0.32,25,3.12,1.46,3,0,0,50,75.3
150,3,2,28,0.42,25,3.72,1.27,4,0,0,0,43.08
100,1,1,28,0.62,40,12,3,3,0,0,0,26.34
100,3,2,56,0.6,19,4.62,0.85,1,15,0,0,29.3
100,1,1,28,0.39,20,4.73,1.12,6,0,0,0,53.7498
100,3,2,21,0.55,19,4.28,0.81,1,0,0,0,33.7
100,1,1,3,0.3,20,3.6,1.94,3,0,0,0,47.89
100,3,2,180,0.27,19,2.62,0.14,4,20,0,0,81.3
150,1,1,63,0.75,19,5.93,1.52,3,0,0,30,33
100,1,1,3,0.3,10,3.48,1.66,1,40,5,0,30.5
150,1,1,28,0.5,13,5.02,1.16,3,0,0,0,44.57
150,1,1,14,0.47,20,4.52,1.63,3,0,10,0,57.7
150,1,1,90,0.4,16,5.54,1.44,3,0,0,0,71.3
100,2,2,28,0.35,13,3.41,1.26,3,0,0,0,63.65
150,1,1,119,0.8,19,6.44,1.52,3,0,0,0,28.9
150,1,1,28,0.5,20,4.57,1.5,3,10,0,40,35.2387
150,1,1,119,0.51,19,3.24,1.52,3,0,0,42,58.3
200,1,1,28,0.4,31.5,3.79,2.34,3,0,0,0,40.1
100,3,2,3,0.35,19,3.51,0.18,4,10,0,0,39.5
100,1,1,90,0.3,10,3.54,1.59,1,25,0,0,95.4
150,1,1,180,0.66,19,4.91,1.52,3,0,0,30,46.9
100,1,1,28,0.51,40,10,3,3,0,0,50,31.94
100,2,2,56,0.34,19,5.22,1.5,1,55,0,0,55.7
200,1,1,28,0.5,13,5.02,1.16,3,0,0,0,46.2
300,1,1,28,0.67,80,13,3,3,0,0,30,15.5
100,1,1,91,0.77,20,10.47,1.34,6,0,0,0,23.6331
100,1,1,180,0.46,25,4.74,1.43,5,29,0,0,51.2
150,1,1,14,0.5,20,4.57,1.5,3,0,0,0,31.84
150,1,1,28,0.28,13,2.77,1.36,3,0,11,0,75.8
100,2,4,28,0.27,25,2.51,1.59,3,0,0,30,72.6
150,1,1,63,0.44,19,2.1,1.52,3,0,0,61,43.5
150,1,1,3,0.5,16,3.53,1.44,3,0,0,80,9
100,2,2,3,0.39,19,5.16,1.5,1,55,0,0,15.1
100,1,1,7,0.27,25,2.83,1.83,5,10,10,0,77.6596
150,1,1,3,0.4,16,5.46,1.44,3,0,0,80,18.9
100,2,2,28,0.67,13,6.75,1.07,3,0,0,0,28.73
250,1,1,28,0.71,40,14,3,3,0,0,0,17.24
100,1,1,7,0.28,20,3.31,2.69,6,0,0,0,60.6436
100,1,1,3,0.4,12.5,4.21,1.28,5,0,0,0,37.6
100,1,1,3,0.3,20,3.6,1.94,3,0,50,0,60.61
150,1,1,28,0.37,20,4.19,1.5,3,0,0,0,42.95
150,1,1,365,1.01,19,8.86,1.52,3,0,0,18,21.4
100,3,2,21,0.5,19,3.88,0.8,1,75,0,0,6.4
150,1,1,28,0.54,20,4.24,1.5,3,0,0,0,32
150,1,1,365,0.64,19,4.73,1.52,3,0,0,42,47.9
150,1,1,28,0.76,19,5.99,1.52,3,0,0,18,29
100,2,2,28,0.5,14,4.28,1.08,3,0,0,0,31.9
100,1,1,14,0.3,20,3.6,1.94,3,0,50,0,78.74
100,1,1,28,0.17,20,3.17,1.5,3,0,15,0,70.47
150,1,1,90,0.4,16,3.89,1.44,3,0,0,0,71
100,3,2,7,0.6,19,4.75,0.81,1,0,0,0,26.3
100,1,1,90,0.3,20,3.6,1.94,3,0,30,0,85.79
100,1,1,28,0.27,25,2.83,1.83,5,30,10,0,93.2328
150,2,2,28,0.5,13,5.02,1.16,3,0,0,0,37.03
100,3,2,28,0.6,19,5.31,0.28,4,0,0,0,32.9
150,1,1,3,0.3,16,5.76,1.44,3,0,0,40,48.3
100,1,1,7,0.24,25,2.83,1.83,5,0,10,20,83.5106
100,1,1,28,0.27,25,2.83,1.83,5,0,10,10,91.2766
150,1,1,7,0.5,16,3.53,1.44,3,0,0,80,17.5
100,3,2,28,0.5,19,4,0.77,1,30,0,0,32.5
100,2,4,1,0.27,25,2.53,1.59,3,0,0,0,31.1
100,1,1,1,0.39,20,4.73,1.73,6,0,0,0,28.5625
100,2,4,90,0.42,25,4.36,1.24,3,0,0,50,52.3
100,1,1,56,0.3,10,3.44,1.71,1,55,0,0,66.6
100,2,4,365,0.36,20,3.33,0.54,4,0,0,0,54.27
100,2,3,28,0.58,30,7.15,1.5,3,0,0,0,19.8
250,1,1,28,0.62,40,12,3,3,0,0,0,22.65
100,3,2,28,0.37,19,3.37,1.01,1,0,0,0,61.3
150,1,1,7,0.3,16,5.71,1.44,3,0,0,80,45.8
100,2,2,91,0.43,19,4.16,1.5,1,0,0,0,57.7
100,3,2,1,0.5,19,4,0.75,1,15,0,0,15.6
150,1,1,63,0.57,19,3.88,1.52,3,0,0,42,47.7
100,3,2,56,0.5,19,3.92,0.8,1,60,0,0,17.2
200,3,2,28,0.5,13,5.02,1.16,3,0,0,0,45.1
150,1,1,3,0.5,16,5.21,1.44,3,0,0,60,16.8
100,1,1,28,0.24,25,2.83,1.83,5,0,10,10,93.0733
100,3,2,56,0.55,19,4.23,0.82,1,15,0,0,35.7
100,1,1,3,0.27,25,2.83,1.83,5,0,10,40,76.9663
100,3,2,90,0.32,19,3.14,0.17,4,20,0,0,66.1
100,3,2,7,0.55,19,4.13,0.85,1,75,0,0,3.4
100,3,2,356,0.4,19,4.14,0.22,4,10,0,0,66.5
100,3,2,90,0.55,19,4.95,0.26,4,10,0,0,45.8
150,1,1,28,0.67,13,6.75,1.07,3,0,0,0,33.47
150,1,1,7,0.28,20,2.86,1.63,3,20,10,0,64.7
150,1,1,3,0.5,20,4.57,1.5,3,0,0,0,18.69
100,2,4,180,0.42,25,4.37,1.24,3,0,0,30,53.1
200,3,2,28,0.67,13,6.75,1.07,3,0,0,0,24.8
150,1,1,14,0.74,19,5.93,1.52,3,0,0,42,20.2
100,1,1,14,0.44,31.5,3.83,2.11,1,70,0,0,10.064
100,1,1,3,0.28,20,3.18,3.14,6,0,0,0,57.1
100,1,1,28,0.36,12.5,3.75,1.35,5,0,0,0,69.73
150,1,1,14,0.5,20,4.57,1.5,3,30,0,20,30.9947
100,2,2,28,0.3,10,3.54,1.58,1,20,5,0,84.2
200,1,1,28,0.17,20,3.17,1.5,3,0,15,0,60.18
100,1,1,28,0.4,20,4.48,1.82,1,45,0,0,43.9
150,1,1,28,0.4,16,3.87,1.44,3,0,0,20,73.5
150,1,1,28,0.38,16,3.83,2.45,1,0,0,0,25.03
100,1,1,28,0.27,25,2.83,1.83,5,0,10,30,92.0688
100,1,1,7,0.27,25,2.83,1.83,5,0,10,40,79.8876
100,1,1,7,0.38,31.5,4.26,1.44,3,24,0,0,47.48
350,2,2,90,0.45,20,4.05,1.35,3,16,0,0,36.09
150,1,1,28,0.51,40,10,3,3,0,0,30,30.73
100,3,2,90,0.4,19,4.05,0.21,4,30,0,0,53.5
100,2,2,1,0.43,19,1.94,1.5,1,0,0,0,26.8
100,1,1,360,0.46,25,4.74,1.43,3,21,0,8,64
100,3,2,90,0.32,19,3.23,0.17,4,0,0,0,63.3
100,2,2,91,0.34,19,5.22,1.5,1,55,0,0,60
150,1,1,28,0.59,20,5.9,1.5,3,0,0,0,43.2
100,2,4,7,0.37,25,3.77,1.35,3,0,0,0,42.3
100,1,1,56,0.4,12.5,4.21,1.28,5,0,0,50,58.76
100,1,1,180,0.4,20,3.46,1.68,1,15,0,0,72.1
100,1,1,1,0.28,20,3.18,3.14,6,0,0,0,53.8
100,1,1,3,0.3,10,3.61,1.51,1,0,5,0,58.3
100,1,1,28,0.77,20,10.47,0.91,6,0,0,0,18.6559
100,1,1,3,0.24,25,2.83,1.83,5,0,10,20,81.7021
150,2,2,28,0.19,30,2.79,1.5,3,0,10,0,44.71
100,1,1,90,0.24,10,2.05,1.36,1,25,0,0,124.5
100,1,1,7,0.24,25,2.83,1.83,5,20,10,0,74.1489
150,1,1,63,0.75,19,5.94,1.52,3,0,0,0,29.8
150,1,1,7,0.5,20,4.57,1.5,3,0,0,70,19.6053
150,1,1,360,0.3,16,5.76,1.44,3,0,0,40,91.8
150,1,1,14,0.89,19,7.55,1.52,3,0,0,0,17.9
100,2,4,180,0.37,25,3.75,1.35,3,0,0,30,60.8
50,1,1,28,0.35,13,3.41,1.26,3,0,0,0,80.28
100,3,2,56,0.55,19,4.28,0.81,1,0,0,0,38.4
150,1,1,14,1.02,19,9,1.52,3,0,0,0,13.7
200,2,2,28,0.38,16,3.17,1.25,1,0,0,0,37.6923
100,3,2,28,0.55,25,5.66,1.27,4,0,0,0,29.64
150,1,1,7,0.6,19,4.15,1.52,3,0,0,0,29.1
100,3,2,14,0.55,19,4.23,0.82,1,15,0,0,29.8
100,1,1,28,0.5,20,4.07,2.11,1,55,0,0,24
150,2,2,28,0.55,25,5.09,1.86,2,0,0,0,22.52
100,3,2,28,0.55,19,5,0.26,4,0,0,0,36.1
150,1,1,365,0.6,19,4.11,1.52,3,0,0,56,40.9
100,1,1,7,0.21,25,2.83,1.83,5,0,10,10,84.8463
100,1,1,180,0.3,10,3.54,1.58,1,20,5,0,95.9
200,1,1,28,0.59,40,12,3,3,0,0,50,23.78
100,3,2,7,0.32,19,3.1,0.16,4,30,0,0,36.5
100,3,2,180,0.6,19,5.22,0.27,4,20,0,0,41.6
100,1,1,1,0.28,20,3.17,1.35,6,0,0,0,50.5172
150,2,2,28,0.38,16,3.17,1.25,1,0,0,0,37.9772
150,1,1,28,0.3,16,5.71,1.44,3,0,0,80,62.7
250,1,1,28,0.59,40,12,3,3,0,0,30,22.81
150,1,1,28,0.51,19,3.24,1.52,3,0,0,42,47.5
100,1,1,28,0.52,40,10,3,3,0,0,0,32.38
150,1,1,28,0.4,16,5.46,1.44,3,0,0,80,50.4
100,3,2,3,0.5,19,4,0.75,1,15,0,0,24.8
100,3,2,1,0.6,19,4.62,0.85,1,15,0,0,8.8
150,1,1,14,0.41,19,1.67,1.52,3,0,0,61,33.5
150,1,1,7,0.41,19,1.67,1.52,3,0,0,61,30.2
100,2,4,7,0.37,25,3.75,1.35,3,0,0,30,39.2
150,1,1,28,0.87,19,7.36,1.52,3,0,0,30,23.5
100,1,1,180,0.46,25,4.74,1.43,5,21,0,8,53.6
150,1,1,360,0.4,16,5.5,1.44,3,0,0,40,78.2
150,1,1,28,0.65,20,7.44,1.69,2,0,0,0,18.21
100,3,2,3,0.32,19,3.18,0.17,4,10,0,0,43.4
100,2,4,90,0.32,25,3.13,1.46,3,0,0,30,74.5
150,1,1,28,0.3,16,4.13,1.44,3,0,0,20,81.8
150,1,1,360,0.5,16,3.53,1.44,3,0,0,80,39.6
100,1,1,7,0.24,10,2.05,1.36,1,25,0,0,74.6
150,1,1,3,0.5,20,4.57,1.5,3,10,0,40,7.01592
100,3,2,3,0.55,19,4.21,0.82,1,30,0,0,18.7
200,2,2,28,0.18,16,2.92,1.22,1,0,9,0,69.3162
100,2,6,7,0.4,20,4.73,1.34,4,0,0,0,46.6
150,1,1,90,0.5,16,4.28,1.44,3,0,0,60,49.6
100,3,2,356,0.4,19,4.18,0.22,4,0,0,0,61.9
150,1,1,7,0.5,16,4.33,1.44,3,0,0,20,34.2
100,1,1,28,0.21,25,2.83,1.83,5,0,10,20,104.468
100,1,1,3,0.4,20,4.48,1.82,1,40,5,0,14.5
200,1,1,28,0.23,16,3.17,1.25,1,0,0,0,63.0495
100,1,1,28,0.28,20,3.16,2.22,6,0,0,0,76.3793
100,3,2,1,0.6,19,4.61,0.86,1,45,0,0,3.1
150,1,1,360,0.5,16,3.6,1.44,3,0,0,20,66.7
100,1,1,56,0.3,10,3.47,1.67,1,45,0,0,85.4
150,1,1,7,0.66,19,4.9,1.52,3,0,0,50,19.1
100,2,3,90,0.3,20,3.6,1.94,3,0,50,0,64.1
200,1,1,28,0.51,80,10,3,3,0,0,30,28.18
100,3,2,356,0.55,19,4.91,0.26,4,20,0,0,52.1
100,2,2,56,0.5,20,4.17,1.96,1,20,5,0,53.1
100,1,1,90,0.4,20,3.46,1.68,1,15,0,0,68.5
150,2,2,28,0.18,16,2.92,1.22,1,0,9,0,72.10025372
100,1,1,7,0.21,25,2.83,1.83,5,0,10,20,84.3617
150,1,1,28,0.41,20,4.15,1.5,3,13,0,9,56.0973
100,3,2,28,0.4,25,3.68,1.94,1,0,0,0,45.7
100,1,1,28,0.3,10,6.03,1.5,1,0,0,0,86.8
150,2,2,28,0.41,25,3.57,2.23,2,0,0,0,35.5
150,3,2,28,0.62,25,6.51,1.27,4,0,0,0,23.91
150,2,2,28,0.37,30,4.19,1.5,3,0,0,0,35.46
150,1,1,3,0.5,16,3.6,1.44,3,0,0,20,21.3
100,2,2,28,0.5,14,4.28,1.08,3,0,0,0,33.1
100,3,2,7,0.4,19,4.14,0.22,4,10,0,0,42.1
100,1,1,7,0.21,25,2.83,1.83,5,30,10,0,74.6773
100,2,2,1,0.34,19,4.95,1.5,1,55,0,0,13.9
100,2,4,90,0.42,25,4.37,1.24,3,0,0,30,51.7
150,1,1,180,1.19,19,11.05,1.52,3,0,0,0,14.5
150,1,1,365,0.47,19,2.56,1.52,3,0,0,56,60.2
150,1,1,7,0.68,19,5.08,1.52,3,0,0,18,24
100,1,1,7,0.77,20,10.47,1.73,6,0,0,0,17
100,3,2,28,0.28,13,2.77,1.36,3,0,11,0,80.1
100,3,2,7,0.5,19,4,0.75,1,15,0,0,27.6
450,1,1,90,0.45,20,4.05,1.35,3,16,0,0,43.53
100,3,2,28,0.44,25,4.12,1.84,1,0,0,0,40.2
150,1,1,3,0.3,16,5.8,1.44,3,0,0,0,61
150,1,1,28,0.35,20,4.66,1.66,3,8,0,15,61.8
150,1,1,28,0.4,16,4.56,1.44,3,0,0,40,66.9
150,1,1,7,0.76,19,5.99,1.52,3,0,0,18,20.8
100,1,1,90,0.26,31.5,3.49,1.63,3,35,0,0,66.56
75,1,1,28,0.18,16,2.92,1.22,1,0,9,0,62.3734
150,1,1,14,0.88,19,7.37,1.52,3,0,0,0,17.6
100,3,2,28,0.6,19,5.17,0.27,4,30,0,0,25
100,1,1,7,0.4,20,4.55,1.75,1,20,5,0,42.1
100,1,1,28,0.24,25,2.83,1.83,5,30,10,0,95.2436
150,1,1,90,0.4,16,4.55,1.44,3,0,0,60,75.1
100,3,2,14,0.6,19,4.51,0.89,1,60,0,0,7.9
100,1,1,56,0.27,25,2.83,1.83,5,0,10,10,98.5579
100,2,2,3,0.4,14,3.1,1.57,3,0,0,0,29.1
150,1,1,28,0.66,19,4.9,1.52,3,0,0,50,27.8
100,1,1,28,0.23,31.5,2.9,1.88,3,43,0,0,48.78
100,2,2,3,0.34,19,4.95,1.5,1,55,0,0,30.1
100,1,1,28,0.46,20,5.84,2.57,6,0,0,0,42.5749
100,3,2,7,0.27,19,2.71,0.14,4,0,0,0,61.2
100,2,2,1,0.34,19,5.22,1.5,1,55,0,0,10.3
100,1,1,28,0.14,1.25,1.63,6,3,0,18.5,0,91.76
100,1,1,90,0.38,31.5,4.26,1.44,3,24,0,0,57.12
100,3,2,356,0.35,19,3.42,0.18,4,30,0,0,73.9
100,3,2,7,0.6,19,4.61,0.86,1,45,0,0,9.1
100,1,1,28,0.28,20,3.31,2.69,6,0,0,0,65.099
150,1,1,7,0.59,19,4.15,1.52,3,0,0,30,29.8
100,2,2,28,0.4,20,3.27,2.09,3,0,0,0,40.5
150,1,1,365,0.75,19,5.94,1.52,3,0,0,0,33.1
100,2,2,56,0.43,19,4.16,1.5,1,0,0,0,54.2
100,1,1,3,0.27,25,2.83,1.83,5,10,10,0,71.8913
100,1,1,7,0.77,20,10.47,2.02,6,0,0,0,17.6288
100,2,2,28,0.4,14,3.1,1.57,3,0,0,0,36.4
100,1,1,7,0.3,31.5,4.26,1.44,3,24,0,0,47.46
100,1,1,28,0.19,10,2.79,1.48,1,0,0,0,96.8
100,1,1,7,0.44,31.5,3.83,2.11,1,70,0,0,7.967
100,1,1,28,0.51,40,10,3,3,0,0,40,32.12
100,1,1,90,0.3,20,3.6,1.94,3,0,40,0,81.32
150,1,1,119,0.52,19,3.2,1.52,3,0,0,56,45.3
100,2,2,3,0.4,20,3.31,1.32,3,0,0,0,32.1
150,2,2,28,0.71,25,7.72,1.27,3,0,0,0,17.2
150,1,1,3,0.5,20,4.57,1.5,3,0,0,30,13.1579
100,1,1,91,0.46,20,5.84,2.57,6,0,0,0,48.5629
100,1,1,7,0.26,31.5,3.49,1.63,3,35,0,0,44.47
100,1,1,90,0.46,25,4.74,1.43,5,29,0,0,50.3
100,3,2,21,0.6,19,4.75,0.81,1,0,0,0,29
200,2,2,28,0.19,30,2.79,1.5,3,0,10,0,40.2
150,1,1,3,0.3,16,4.81,1.44,3,0,0,60,32.3
300,1,1,28,0.67,40,13,3,3,0,0,50,16.31
150,1,1,3,0.5,20,4.57,1.5,3,20,0,30,8.60743
150,1,1,7,0.75,19,5.94,1.52,3,0,0,0,19.9
100,1,1,7,0.24,25,2.83,1.83,5,40,10,0,69.7753
100,1,1,7,0.27,25,2.83,1.83,5,0,10,30,80.603
100,3,2,3,0.5,19,3.92,0.8,1,60,0,0,7.2
150,1,1,119,0.64,19,4.73,1.52,3,0,0,42,43.4
